id,name,latitude,longitude
142,구일역,37.496273,126.869599
143,개봉역,37.494698,126.858504
144,오류동역,37.4944,126.844551
145,온수역,37.492267,126.823399
146,역곡역,37.48514,126.811622
147,소사역,37.482755,126.795654
148,부천역,37.484066,126.782779
149,중동역,37.486664,126.764474
150,송내역,37.487626,126.753045
151,부개역,37.488479,126.740549
152,부평역,37.489457,126.724584
153,백운역,37.483301,126.707179
154,동암역,37.470835,126.703016
155,간석역,37.464689,126.693408
156,주안역,37.465041,126.680702
157,도화역,37.466154,126.66846
148,명학역,37.384435,126.935579
158,제물포역,37.466809,126.657165
159,도원역,37.468604,126.642824
160,동인천역,37.475414,126.632598
161,인천역,37.476364,126.616936
435,선바위역,37.451854,127.002164
436,경마공원역,37.443987,127.007899
437,대공원역,37.435724,127.006474
438,과천역,37.433205,126.996404
439,정부과천청사역,37.426445,126.989802
417,이천역,37.264222,127.442135
3112,박촌,37.553525,126.744946
418,부발역,37.260411,127.490303
419,세종대왕릉역,37.293636,127.570764
420,여주역,37.282881,127.628571
144,광명역,37.415995,126.884523
145,석수역,37.435161,126.902233
146,관악역,37.419578,126.908476
147,안양역,37.401929,126.922647
329,운정역,37.725441,126.767076
330,금릉역,37.751295,126.765401
331,금촌역,37.766106,126.774515
3111,귤현,37.566362,126.742498
333,월롱역,37.796201,126.792574
334,파주역,37.815391,126.792426
335,문산역,37.854565,126.787531
134,남영역,37.540597,126.971171
135,용산역,37.52989,126.964775
319,지축역,37.648114,126.913746
453,안산역,37.327006,126.788748
318,삼송역,37.653096,126.895559
317,원흥역,37.650709,126.873239
316,원당역,37.653103,126.842891
315,화정역,37.637837,126.832503
322,대곡역,37.631629,126.811025
313,백석역,37.642973,126.788109
312,마두역,37.652185,126.777641
311,정발산역,37.659709,126.773254
310,주엽역,37.670138,126.761232
309,대화역,37.675883,126.747756
111,이촌역,37.522476,126.973816
112,서빙고역,37.51961,126.988358
113,한남역,37.529361,127.008984
136,노량진역,37.514072,126.941671
137,대방역,37.513392,126.926407
138,신길역,37.517018,126.917743
139,영등포역,37.515756,126.907411
140,신도림역,37.508983,126.891513
141,구로역,37.503178,126.882037
142,가산디지털단지역,37.481568,126.882628
143,독산역,37.465994,126.889508
144,금천구청역,37.45576,126.894344
149,금정역,37.371957,126.943611
150,군포역,37.353732,126.948517
151,당정역,37.34338,126.948388
152,의왕역,37.320648,126.948099
153,성균관대역,37.300344,126.970861
154,화서역,37.28399,126.989581
245,수원(분당)역,37.266162,126.999821
440,인덕원역,37.401901,126.976818
441,평촌역,37.394346,126.963881
442,범계역,37.389783,126.950752
444,산본역,37.358019,126.932969
445,수리산역,37.350297,126.925537
446,대야미역,37.328304,126.917161
447,반월역,37.312244,126.903684
448,상록수역,37.302845,126.866533
450,중앙역,37.316055,126.838532
449,한대앞역,37.309685,126.853656
451,고잔역,37.316821,126.823094
452,초지역,37.320583,126.806151
454,신길온천역,37.337488,126.767306
455,정왕역,37.351816,126.742844
456,오이도역,37.361773,126.738437
246,고색,37.248829,126.977899
247,오목천,37.243011,126.9636354
248,어천,37.250076,126.908805
249,야목,37.261011,126.88429
250,사리,37.289982,126.856872
251,한대앞,37.309685,126.853656
252,중앙,37.316055,126.838532
253,고잔,37.316821,126.823094
254,초지,37.320583,126.806151
255,안산,37.327006,126.788748
256,신길온천,37.337488,126.767306
257,정왕,37.351816,126.742844
258,오이도,37.361773,126.738437
259,달월역,37.379993,126.745431
260,월곶역,37.39189,126.742741
261,소래포구역,37.400963,126.733533
262,인천논현역,37.400641,126.722495
3110,계양,37.571539,126.736319
263,호구포역,37.401622,126.708682
264,남동인더스파크역,37.407868,126.695613
265,원인재역,37.412921,126.686952
266,연수역,37.417769,126.678991
267,송도역,37.417769,126.678991
269,인하대역,37.448191,126.649832
270,숭의역,37.460891,126.638035
271,신포역,37.468442,126.624509
114,옥수역,37.540514,127.018698
115,응봉역,37.550433,127.034824
272,인천,37.476364,126.616936
U125,탑석,37.7334668,127.0889285
3135,지식정보단지,37.378021,126.645412
3136,인천대입구,37.386239,126.639351
3137,센트럴파크,37.392833,126.635002
3138,국제업무지구,37.400464,126.630094
3201,검단오류,37.595162,126.629206
3202,왕길,37.592191,126.642284
3203,검단사거리,37.601693,126.656545
3204,마전,37.597756,126.667195
3205,완정,37.592867,126.672961
3206,독정,37.584927,126.675981
3207,검암,37.568611,126.671221
3208,검바위,37.561091,126.677529
3209,아시아드경기장,37.551373,126.677075
3210,서구청,37.543839,126.676795
3211,가정(루원시티),37.524805,126.675387
3212,가정중앙시장,37.517511,126.676784
3213,석남(거북시장),37.507211,126.676304
100,양촌역,37.64179203,126.6146219
101,구래역,37.6453934,126.628576
102,마산역,37.64060947,126.6440072
103,장기역,37.64405889,126.6690798
104,운양역,37.65376915,126.6838479
105,걸포북변역,37.63164148,126.705778
106,사우(김포시청)역,37.62035224,126.7196954
3214,서부여성회관,37.500298,126.675875
3215,인천가좌,37.493762,126.675465
3216,가재울,37.484152,126.683883
3217,주안국가산단,37.473599,126.681702
3218,주안,37.465517,126.680441
3219,시민공원,37.458739,126.680091
3220,석바위시장,37.457659,126.692387
3221,인천시청,37.456904,126.701523
3222,석천사거리,37.4569323,126.710383
3223,모래내시장,37.455842,126.719578
3224,만수,37.454962,126.731764
3225,남동구청,37.448179,123.736581
3226,인천대공원,37.448475,126.753051
3227,운연,37.437924,126.759409
U110,발곡,37.7269917,127.0529098
