id,name,latitude,longitude,passenger
109,가능,37.748362,127.044251,852.8333332999998
340,가락시장,37.49276539,127.1178996,918.9166667000002
2748,가산디지털단지,37.48121776,126.88258159999998,2404.333333
3216,가재울,37.484152,126.68388300000001,1449.5739538369912
3211,가정(루원시티),37.524805,126.67538700000001,1449.5739538369912
3212,가정중앙시장,37.517511,126.67678400000001,1449.5739538369912
315,가좌,37.568611,126.914841,668.0833332999999
223,가천대,37.448784,127.126677,1083.416667
134,가평,37.814515,127.51069299999999,650.1666667000001
155,간석,37.464689,126.693408,722.75
3123,간석오거리,37.466921,126.70786100000001,1449.5739538369912
123,갈매,37.634135,127.11480300000001,325.5
3117,갈산,37.517124,126.721566,1449.5739538369912
222,강남,37.49720244,127.0280537,10063.25
2732,강남구청,37.51714842,127.04116280000001,1001.166667
Y111,강남대,37.270171000000005,127.126023,1449.5739538369912
2549,강동,37.53587886,127.132079,2089.583333
2813,강동구청,37.53047081,127.12026909999999,1027.916667
319,강매,37.612596,126.84543700000002,326.1666667
214,강변,37.53487706,127.09469440000001,4690.916667
2559,개롱,37.49782678,127.1348328,773.25
143,개봉,37.494698,126.85850400000001,2759.916667
219,개포동,37.489112,127.066027,434.41666669999995
2512,개화산,37.57231242,126.80628850000001,622.3333332999999
2560,거여,37.49316744,127.1436672,950.1666667000002
212,건대입구,37.54060889,127.0700628,1815.25
105,걸포북변,37.63164148,126.70577800000001,1449.5739538369912
3203,검단사거리,37.601693,126.656545,1449.5739538369912
3201,검단오류,37.595162,126.62920600000001,1449.5739538369912
3208,검바위,37.561091,126.677529,1449.5739538369912
3207,검암,37.568611,126.671221,798.1666667000001
413,경기광주,37.398974,127.253201,887.4166667000002
U120,경기도청북부청사,37.7507731,127.0716075,1449.5739538369912
436,경마공원,37.443987,127.007899,230.75
317,경복궁,37.57560542,126.97348319999999,3443.833333
3115,경인교대입구,37.538272,126.722603,1449.5739538369912
U113,경전철의정부,37.7373859,127.043314,1449.5739538369912
341,경찰병원,37.49576539,127.1242996,639.8333332999999
3114,계산,37.543243,126.72843600000002,1449.5739538369912
3110,계양,37.571539,126.736319,1174.333333
2553,고덕,37.55503473,127.1540785,1118.583333
2641,고려대,37.59033908,127.0358642,916.8333332999998
246,고색,37.248829,126.977899,422.58333330000005
329,고속터미널,37.50436623,127.00494029999999,7860.333333
253,고잔,37.316821000000004,126.823094,1111.25
Y121,고진,37.244642999999996,127.21416799999999,1449.5739538369912
108,고촌,37.60121656,126.7703242,1449.5739538369912
323,곡산,37.645728999999996,126.801877,74.41666667
U122,곤제,37.750533700000005,127.083846,1449.5739538369912
415,곤지암,37.350525,127.34618600000002,371.1666667
2530,공덕,37.54412449,126.9513584,1209.75
2718,공릉,37.62551321,127.0728236,1577.583333
438,과천,37.433205,126.996404,711.1666667000001
146,관악,37.419578,126.90847600000001,1018.083333
2547,광나루,37.5450481,127.1035121,1824.25
2750,광명사거리,37.47941898,126.85472779999999,2782.0
144,광명,37.415995,126.884523,487.5
119,광운대,37.623635,127.061975,952.5
2534,광화문,37.5708165,126.9762129,2759.916667
2625,광흥창,37.54746977,126.93181770000001,881.3333332999998
223,교대,37.49320061,127.0142237,910.1666667000002
101,구래,37.6453934,126.628576,1449.5739538369912
232,구로디지털단지,37.48516215,126.90148470000001,5667.416667
141,구로,37.503178000000005,126.88203700000001,2314.666667
218,구룡,37.486985,127.059496,301.25
123,구리,37.503178000000005,126.88203700000001,1835.25
2616,구산,37.61125852,126.9171923,810.75
235,구성,37.299013,127.10566399999999,583.8333332999999
213,구의,37.53691864,127.0857297,2647.166667
142,구일,37.496272999999995,126.869599,775.9166667000001
310,구파발,37.63664912,126.9187832,2823.75
132,국수,37.516171,127.399402,134.83333330000002
3138,국제업무지구,37.400464,126.630094,1449.5739538369912
2545,군자,37.55713392,127.07943300000001,1577.5
150,군포,37.353732,126.948517,709.5
2760,굴포천,37.50708334,126.7311071,1124.166667
2551,굽은다리,37.54537927,127.14281159999999,1199.583333
3111,귤현,37.566362,126.742498,1449.5739538369912
127,금곡,37.637414,127.207931,201.08333330000002
330,금릉,37.751295,126.765401,649.6666667000001
149,금정,37.371957,126.943611,3163.666667
144,금천구청,37.45576,126.89434399999999,1466.916667
331,금촌,37.766106,126.774515,921.4166667000002
324,금호,37.54800401,127.0156615,944.9166667000002
237,기흥,37.275657,127.115944,1139.166667
2550,길동,37.53794494,127.1400433,1006.75
417,길음,37.603508500000004,127.0249611,2326.083333
Y119,김량장,37.237293,127.19867099999999,1449.5739538369912
2513,김포공항,37.5622601,126.80147029999999,1693.3333329999998
200,까치산,37.53168373,126.8467432,3458.416667
2753,까치울,37.50632983,126.81133090000002,965.8333332999998
227,낙성대,37.47692607,126.96360020000002,3526.666667
2747,남구로,37.48613283,126.88733549999999,1390.5
3225,남동구청,37.448178999999996,123.736581,1449.5739538369912
264,남동인더스파크,37.407868,126.695613,147.25
331,남부터미널,37.48482472,127.0161898,3461.916667
2739,남성,37.48453469,126.9712351,1220.666667
134,남영,37.540597,126.971171,1004.0
434,남태령,37.46424858,126.98883629999999,181.66666669999998
2823,남한산성입구,37.45156254,127.1597963,1485.166667
2737,내방,37.48751179999999,126.9932223,1289.333333
136,노량진,37.514072,126.941671,1460.333333
411,노원,37.6551493,127.06249479999998,2688.25
313,녹번,37.60085525,126.935753,1625.5
2630,녹사평,37.53464201,126.9867518,1287.333333
108,녹양,37.759415999999995,127.042272,587.5
117,녹천,37.644599,127.051406,506.91666669999995
2734,논현,37.51118691,127.0212831,1935.0833329999998
